episode,reward,loss,transmission_success_rate,battery_remaining,storage_overflow_count
1,48.0,0.0,0.19230769230769232,-0.8132536241652306,0
2,26.0,58.80192844684307,0.09090909090909091,-0.027308658741705127,0
3,94.0,47.67994578679403,0.2631578947368421,-0.22755417303846726,0
4,224.0,36.444720510226574,0.2857142857142857,-0.44563914054029624,0
5,163.0,34.45154339616949,0.2,-0.32326004754845133,0
6,160.0,40.52265061272515,0.19047619047619047,-0.05416577421472574,0
7,199.0,40.3292161065179,0.35,-0.6467499423943182,0
8,196.0,39.63425232643305,0.2857142857142857,-0.14579315336152004,0
9,218.0,38.39122201999029,0.3333333333333333,-0.7855534856792765,0
10,267.0,40.647467796619125,0.35,-0.8308848760674366,0
11,255.0,41.70700659070696,0.4,-0.050788243672573535,0
12,249.0,56.80844485375189,0.5714285714285714,-0.46742269453124924,0
13,165.0,47.13888608492338,0.29411764705882354,-0.7161403771655779,0
14,70.0,48.43594289709021,0.3125,-0.16651409234898634,0
15,164.0,54.03342502995541,0.4,-0.10091506979699588,0
16,253.0,55.87019107959889,0.4444444444444444,-0.1879936524523285,0
17,175.0,60.240423817788404,0.2777777777777778,-0.05484872046961159,0
18,176.0,56.35113494460647,0.5,-0.21760534158847147,0
19,77.0,56.317895806354024,0.4375,-0.3362089274001561,0
20,129.0,52.36157708418997,0.38461538461538464,-0.017136746903291394,0
21,236.0,54.21616594608013,0.3125,-0.06207895425138213,0
22,148.0,72.69873244421822,0.5,-0.033386313904957415,0
23,215.0,63.948144953301615,0.3333333333333333,-0.2551989572586949,0
24,184.0,62.64592578194358,0.35294117647058826,-0.8699539827506704,0
25,277.0,64.29131557323315,0.3684210526315789,-0.24598824198645744,0
26,221.0,66.90315675735474,0.4117647058823529,-0.1726709884372897,0
27,266.0,62.100764525564095,0.5333333333333333,-0.48464323223711336,0
28,181.0,61.10180017683241,0.4,-0.2393408072649225,0
29,254.0,63.46647569244983,0.375,-0.2961019847904648,0
30,270.0,61.36864059849789,0.5,-0.17487775276032416,0
31,241.0,63.72431861522586,0.4375,-0.20960720218854673,0
32,319.0,70.03901873136822,0.3888888888888889,-0.22584540308675108,0
33,180.0,63.318282551235626,0.4666666666666667,-0.23016383963781473,0
34,135.0,56.42577798025949,0.3125,-0.8552912616819719,0
35,233.0,60.32482426961263,0.5384615384615384,-0.10353342088134457,0
36,136.0,60.47631877177471,0.26666666666666666,-0.15015095004524542,0
37,160.0,61.729653676350914,0.42857142857142855,-0.18663705276819426,0
38,231.0,61.15420004900764,0.3888888888888889,-0.21123746470159582,0
39,283.0,59.763765296936036,0.375,-0.9471525212863052,0
40,155.0,63.42299538566952,0.23529411764705882,-0.0041826150362429815,0
41,213.0,63.5821450306819,0.29411764705882354,-0.11228030770524616,0
42,278.0,60.21019458770752,0.3125,-0.046765627465309684,0
43,211.0,57.30789347392757,0.375,-0.21889139276128225,0
44,230.0,56.438272895812986,0.35714285714285715,-0.03230586318448295,0
45,174.0,60.95174608732525,0.29411764705882354,-0.05331059926362261,0
46,117.0,59.03154277801514,0.25,-0.21054823499385758,0
47,245.0,53.32855633326939,0.375,-0.0013384144991269165,0
48,145.0,57.36010863564231,0.2631578947368421,-0.9352511786607858,0
49,214.0,54.73112932840983,0.5,-0.29430205661592523,0
50,206.0,56.54414921272092,0.38461538461538464,-0.055298295590229085,0
51,142.0,55.13257373907627,0.5625,-0.05018805103385607,0
