,rewards,success_rates,battery_remaining,storage_overflows,episode_lengths
Baseline,129.66,0.26869331215441056,-0.49834201889399665,0.0,28.24
DQN,399.64,0.30148412698412697,38.52715542651568,1.0,80.1
