episode,reward,loss,transmission_success_rate,battery_remaining,storage_overflow_count
1,130.0,0.0,0.19047619047619047,-0.3218165402790943,0
2,145.0,73.00848686695099,0.19230769230769232,-0.9111701375374006,0
3,119.0,53.46303167650777,0.19230769230769232,-0.9703242384646662,0
4,189.0,40.75352421585394,0.08695652173913043,-0.14324494047341735,0
5,162.0,32.05266706333604,0.3181818181818182,-0.751745806692891,0
6,89.0,35.575696740831646,0.29411764705882354,-0.2317795064413838,0
7,104.0,41.000980817354645,0.18181818181818182,-0.05420481068107011,0
8,121.0,42.49232788085938,0.2777777777777778,-0.030806514032471644,0
9,84.0,44.79477614325446,0.25,-0.40235615053125345,0
10,126.0,42.92615114409348,0.5384615384615384,-0.21198491197050742,0
11,132.0,43.71983189582825,0.2777777777777778,-1.1619428961257041,0
12,122.0,60.09354813893636,0.19047619047619047,-0.6569590195171893,0
13,294.0,51.3850208184658,0.5333333333333333,-0.09586671855377676,0
14,183.0,49.33690574434068,0.35294117647058826,-0.12865002833937328,0
15,270.0,50.2365582488304,0.23076923076923078,-0.03754773423669425,0
16,265.0,49.49536195234819,0.35294117647058826,-0.00822986199709122,0
17,140.0,50.55631454785665,0.35294117647058826,-0.01967934625441306,0
18,94.0,47.87898142584439,0.35294117647058826,-0.5906740679665512,0
19,107.0,48.05414751597813,0.25,-1.1743109212702252,0
20,232.0,52.230202233613426,0.26666666666666666,-0.02570036239331311,0
21,185.0,47.785968553452264,0.38461538461538464,-0.06547048419320647,0
22,225.0,62.56828308105469,0.6363636363636364,-0.260087719000892,0
23,148.0,56.93808981088492,0.46153846153846156,-0.14105252379259864,0
24,238.0,51.16953672121649,0.3333333333333333,-0.09922596050482971,0
25,211.0,50.88875413977581,0.46153846153846156,-0.14211440104545128,0
26,244.0,54.889398484002974,0.35714285714285715,-0.2640119628288139,0
27,160.0,46.78400976998466,0.46153846153846156,-0.276803201470205,0
28,238.0,47.85577503003572,0.23076923076923078,3.52002622209829,1
29,163.0,47.75461347479569,0.5454545454545454,-0.0814350464282502,0
30,171.0,51.69003265782406,0.5,-0.2467232988441758,0
31,218.0,51.97488749027252,0.45454545454545453,-0.22028365210015802,0
32,182.0,54.007791355678016,0.5,-0.08268540350412903,0
33,234.0,50.7383804957072,0.3125,-0.1917932099041825,0
34,187.0,50.29313894112905,0.5,-0.2449203678022495,0
35,220.0,47.16506822374132,0.375,-0.22719991347600157,0
36,210.0,48.795319829668315,0.42857142857142855,-0.20375809341810439,0
37,258.0,49.67152295430501,0.07142857142857142,-0.09063997766520485,0
38,222.0,48.2947678565979,0.46153846153846156,-0.23657426115106697,0
39,166.0,49.563061869421674,0.45454545454545453,-0.014073057898245672,0
40,246.0,47.666644266673494,0.3333333333333333,-0.2941164839008089,0
41,319.0,50.48372617909606,0.42857142857142855,-0.09166094325201049,0
42,163.0,54.492861674382134,0.2777777777777778,-0.18871888351573235,0
43,250.0,47.467063835689,0.07692307692307693,4.062737475663713,1
44,245.0,45.47899598341722,0.2857142857142857,-0.27444768837607014,0
45,143.0,45.31078282798209,0.2857142857142857,-0.029299699962991227,0
46,216.0,42.98848037719726,0.3125,-0.11235859348719482,0
47,295.0,47.64606006561764,0.38461538461538464,-0.005467028526675272,0
48,252.0,45.08222525047533,0.4666666666666667,-0.19641893221489584,0
49,365.0,43.22606264401789,0.4375,-0.13252478149080488,0
50,276.0,43.186940529767206,0.4,-0.137011498797904,0
51,266.0,40.280341725600394,0.13333333333333333,-0.06710626153239799,0
52,168.0,49.54768060601276,0.5,-0.008518701877195639,0
53,210.0,42.09422994214435,0.5833333333333334,-0.0050800288087753664,0
54,146.0,47.54885173797607,0.3333333333333333,-0.24620245774625293,0
55,280.0,43.822818177086965,0.4444444444444444,-0.14592634130186158,0
56,199.0,43.834113606235434,0.25,-0.15302346626709565,0
57,271.0,42.68804045284496,0.2857142857142857,-0.12706720201594282,0
58,226.0,42.40249796266909,0.3157894736842105,-0.274641226530003,0
59,188.0,40.81275505855166,0.3333333333333333,-0.24428290434945846,0
60,165.0,41.26438547770182,0.46153846153846156,-0.15709117014518262,0
61,431.0,43.388622947361156,0.42857142857142855,-0.20921531734807966,0
62,238.0,40.99465115865072,0.26666666666666666,-0.05329906993736824,0
63,256.0,41.63180195201527,0.2727272727272727,-0.11024269078008056,0
64,192.0,41.960693844881924,0.42857142857142855,-0.08907401964616182,0
65,288.0,38.523616344370744,0.5714285714285714,-0.24138486555753716,0
66,306.0,39.22831349558645,0.5454545454545454,-0.07046576834885135,0
67,186.0,39.45639069263752,0.5384615384615384,-0.9756309696404282,0
68,215.0,40.181742656080026,0.3333333333333333,-0.2956512983392948,1
69,182.0,39.225573591752486,0.29411764705882354,-0.09776647432419541,0
70,235.0,40.36198800609958,0.6428571428571429,-0.009247760555775059,0
71,242.0,41.118196432931086,0.5,-0.20310945771754332,0
72,230.0,42.13728778178875,0.3333333333333333,-0.03743258355682458,0
73,273.0,38.79382214401708,0.3333333333333333,-0.14450656119042274,0
74,291.0,39.2917751496838,0.4666666666666667,-0.16085617250437947,0
75,307.0,38.79955655052548,0.3333333333333333,-0.046347038572409766,0
76,269.0,36.34535331260867,0.4166666666666667,1.2332414229687825,1
77,341.0,39.81161634686967,0.5,-0.2683042437000419,0
78,194.0,40.9094702579357,0.2857142857142857,-0.20078921350099746,0
79,174.0,36.11246100715969,0.35714285714285715,-0.07870327865966478,0
80,275.0,37.66226102594744,0.4375,-0.26992676155895523,0
81,356.0,37.25330989280444,0.35714285714285715,0.5284855051372677,1
82,162.0,42.136369972229005,0.4166666666666667,-0.13855834949273574,0
83,366.0,37.58330274309431,0.375,-0.08206611981048453,0
84,265.0,40.135766474405926,0.46153846153846156,-0.09684269536265569,0
85,177.0,39.143746610273396,0.3333333333333333,-0.19897461164505162,0
86,243.0,38.4789003321999,0.4,-1.1745346541080317,0
87,297.0,36.805215482842435,0.3333333333333333,-0.1161286992149976,0
88,273.0,37.00889778137207,0.6666666666666666,-0.1244236086876789,0
89,255.0,37.36158996331887,0.3125,-0.09930324417105788,0
90,279.0,38.782514490979786,0.4117647058823529,-0.18407270876938933,0
91,198.0,36.61994510226779,0.3333333333333333,-0.06325130230552181,0
92,280.0,39.758788972742416,0.15384615384615385,-0.031454710633444766,0
93,254.0,34.11087907250248,0.42857142857142855,-0.28281821269209584,0
94,404.0,37.369452701525745,0.46153846153846156,-0.16621326776199022,0
95,256.0,36.16729103537167,0.38461538461538464,-0.17820354892742687,0
96,229.0,36.75488618703989,0.29411764705882354,-0.06945448596653195,0
97,261.0,37.829834979513414,0.5,-0.21776109140222202,0
98,263.0,36.85380080011156,0.5,4.63579155256028,1
99,225.0,37.363993564283994,0.23076923076923078,-0.12083620781423035,0
100,176.0,32.88664145305239,0.3076923076923077,-0.2711798382752634,0
101,227.0,35.98470150874211,0.38461538461538464,-0.07639757039758802,0
102,308.0,37.758294847276474,0.4166666666666667,-0.033007358809923254,0
103,311.0,34.91019504475144,0.4117647058823529,-0.14197579605759372,0
104,247.0,36.029333208428056,0.46153846153846156,-0.20751906247558052,0
105,272.0,34.43323192261813,0.29411764705882354,-0.22855733793504465,0
106,193.0,33.57604104074939,0.4166666666666667,-0.13067520638692978,0
107,243.0,35.71672510782878,0.35714285714285715,-0.048203148002460644,0
108,325.0,33.455908444722496,0.5,-0.1570622522406934,0
109,284.0,35.753156127929685,0.35294117647058826,-0.12877303557533884,0
110,185.0,34.33146564165751,0.16666666666666666,-0.16669749850757035,0
111,382.0,35.63099508647677,0.375,-0.19156584773611565,0
112,263.0,36.21661788225174,0.38461538461538464,-0.2030513254508665,0
113,341.0,32.48249118392532,0.25,-0.12447801740773681,0
114,226.0,31.580759978875882,0.6666666666666666,-0.28839994286867865,0
115,211.0,34.28706505719353,0.6363636363636364,-0.02342583382553412,0
116,294.0,31.80051549705299,0.3076923076923077,-0.24440096886569154,0
117,183.0,32.56617128281366,0.46153846153846156,-0.19475049550314108,0
118,287.0,32.96589401790074,0.46153846153846156,-0.12553262498744547,0
119,368.0,33.70842330035041,0.46153846153846156,-0.025158068878423784,0
120,325.0,33.38818887869517,0.4166666666666667,10.536939898029653,1
121,390.0,33.67172485351563,0.42857142857142855,-0.09185168110635691,0
122,184.0,34.132095612419974,0.45454545454545453,-0.0988859863306312,0
123,224.0,32.40224378500412,0.23076923076923078,-0.29461997325081934,0
124,187.0,35.2118586871935,0.3076923076923077,-0.025963037853093784,0
125,221.0,32.84778381216115,0.4375,-0.4165092340140315,0
126,321.0,31.481731487042975,0.4375,-0.0464233285381456,0
127,305.0,32.85506080573713,0.3333333333333333,-0.25117018585101547,0
128,284.0,34.53655705732458,0.46153846153846156,-0.07811632344369604,0
129,223.0,33.10159869627519,0.5333333333333333,-0.2874672473310083,0
130,278.0,31.65939803862236,0.46153846153846156,-0.06535546411148022,0
131,380.0,31.7031267339533,0.4375,-0.19137209703746452,0
132,299.0,30.58930108633386,0.3333333333333333,1.0397361594123418,1
133,370.0,30.78349810380202,0.5,-0.14824206196304782,0
134,366.0,30.322190761566162,0.5333333333333333,-0.28018349624713257,0
135,298.0,30.77247181645146,0.4375,-0.22301717437343163,0
136,226.0,30.432800395148142,0.6,-0.11926413830792529,0
137,297.0,31.507968694735798,0.6,-0.2352722422849805,0
138,150.0,30.307145833969116,0.38461538461538464,-0.2257013742359372,0
139,198.0,28.95979371618052,0.16666666666666666,-0.08722853265907796,0
140,213.0,29.835408382728453,0.3076923076923077,-0.018074295743103846,0
141,276.0,30.183220647176107,0.42857142857142855,-0.055494712063195145,0
142,280.0,29.76644234975179,0.4666666666666667,-0.07243984911917659,0
143,266.0,30.623788045247395,0.5,-0.299755767670591,0
144,279.0,29.693627218766647,0.4666666666666667,-1.0945714218521607,0
145,339.0,29.953028584869816,0.42857142857142855,1.1353929165280807,1
146,387.0,28.065213789542515,0.42857142857142855,-0.27220698736317217,0
147,245.0,29.613471701338483,0.6363636363636364,-0.09084777229843657,0
148,194.0,26.835551080249605,0.5384615384615384,-0.07118764469346864,0
149,271.0,29.619501956303914,0.6153846153846154,-0.20810284662520054,0
150,300.0,28.593221833434285,0.3333333333333333,-0.20150375702235374,0
151,259.0,29.472125023130385,0.4,-0.8927070620190627,0
152,247.0,28.03397303658563,0.25,-0.026146278013139984,0
153,249.0,27.47694102200595,0.35,-0.11219108603287334,0
154,303.0,28.517964804172514,0.6363636363636364,-0.16827312481229031,0
155,325.0,28.452638255848605,0.5,-0.09557788720175081,0
156,280.0,27.109171308789936,0.4666666666666667,-0.27135335722675913,0
157,290.0,25.829692929585775,0.6,3.4231854163551008,1
158,265.0,26.962965511140368,0.3125,-0.2760345241020472,0
